model,lt_lambda,st_lambda,lt_loss,st_loss,st_final,lt_original,st_original
LSTM,1.0,0.1,0.0676910889645417,0.1494365313282322,0.066190485159556,0.1599434924622376,0.3205555667572964
LSTM,1.5,0.09,0.0676910889645417,0.1506206266333659,0.066190485159556,0.1599434924622376,0.3205555667572964
LSTM,2.0,0.08,0.0676910889645417,0.1575811341653267,0.066190485159556,0.1599434924622376,0.3205555667572964
LSTM,2.5,0.07,0.0676910889645417,0.1494365311662356,0.066190485159556,0.1599434924622376,0.3205555667572964
LSTM,3.0,0.06,0.0676910889645417,0.1494365311662356,0.066190485159556,0.1599434924622376,0.3205555667572964
LSTM,3.5,0.0499999999999999,0.0676910889645417,0.1494365311662356,0.066190485159556,0.1599434924622376,0.3205555667572964
LSTM,4.0,0.0399999999999999,0.0676910889645417,0.1575811341653267,0.066190485159556,0.1599434924622376,0.3205555667572964
LSTM,4.5,0.03,0.0676910889645417,0.1494365311662356,0.066190485159556,0.1599434924622376,0.3205555667572964
LSTM,5.0,0.0199999999999999,0.0676910889645417,0.1494365311662356,0.066190485159556,0.1599434924622376,0.3205555667572964
LSTM,5.5,0.01,0.06769108896454175,0.1494365311662356,0.06619048515955607,0.15994349246223769,0.32055556675729646
