,s,x1,z1,y1,x2,z2,y2
0,1.0,3.683458089828491,6.605160236358643,1.0,4.181013584136963,7.177750587463379,1.0
1,0.0,-4.529924392700195,-0.7052172422409058,0.0,-4.5468573570251465,-0.526695966720581,0.0
2,0.0,0.0954388603568077,-2.8207311630249023,0.0,0.209923505783081,-2.8514089584350586,0.0
3,1.0,4.1179728507995605,4.406809329986572,1.0,4.652209758758545,5.064830303192139,1.0
4,0.0,-0.2690736055374145,-2.3446335792541504,0.0,0.0077643319964408,-2.2735188007354736,0.0
5,1.0,5.48214864730835,9.092535018920898,1.0,6.070404529571533,9.681824684143066,1.0
6,0.0,-1.6790170669555664,-2.887401580810547,0.0,-1.6118378639221191,-2.730302572250366,0.0
7,1.0,4.814023017883301,7.46353006362915,1.0,5.470673084259033,7.937806606292725,1.0
8,1.0,2.668173789978028,5.006914615631104,1.0,3.2342374324798584,5.9195170402526855,1.0
9,0.0,1.1216411590576172,0.5489040613174438,1.0,1.3122695684432983,0.6239390969276428,1.0
10,0.0,-0.6834596395492554,2.437612295150757,1.0,-0.4542408883571625,2.611133337020874,1.0
11,0.0,-0.1185849234461784,-1.793345928192139,0.0,0.0005243420600891,-1.8165885210037231,0.0
12,1.0,0.8567044734954834,1.759521484375,1.0,1.5358413457870483,2.2834460735321045,1.0
13,0.0,2.600270748138428,-2.041861057281494,0.0,2.623001337051392,-1.8709065914154053,0.0
14,0.0,-5.178483486175537,-0.4553255140781402,0.0,-5.1369218826293945,-0.1622238755226135,0.0
15,1.0,5.391364574432373,5.7516398429870605,1.0,6.027214050292969,6.28522253036499,1.0
16,1.0,3.2419445514678955,2.479123115539551,1.0,3.9244420528411865,2.792106866836548,1.0
17,0.0,-6.019399166107178,2.6071925163269043,1.0,-5.888444900512695,2.8721847534179688,1.0
18,0.0,1.6021124124526978,-1.413856029510498,0.0,1.7047516107559204,-1.4128109216690063,0.0
19,0.0,-0.2100355923175811,-1.159212589263916,0.0,-0.1666058003902435,-1.0071477890014648,0.0
