model,lt_lambda,st_lambda,lt_loss,st_loss,st_final,lt_original,st_original
CLF,1.0,0.1,0.05727882348001,0.0581999958554903,0.0716666599114736,0.1592653090755144,0.1111666636914014
CLF,1.5,0.09,0.0915564017991224,0.0996675320963064,0.1749999950329462,0.1592653090755144,0.1111666636914014
CLF,2.0,0.08,0.0915564017991224,0.0983060323404763,0.1749999950329462,0.1592653090755144,0.1111666636914014
CLF,2.5,0.07,0.0720074782768885,0.193970612178356,0.0653333375851313,0.1592653090755144,0.1111666636914014
CLF,3.0,0.06,0.0915564017991224,0.3546871580887728,0.1749999950329462,0.1592653090755144,0.1111666636914014
CLF,3.5,0.0499999999999999,0.0904911550382773,0.0918726983872547,0.1583333263794581,0.1592653090755144,0.1111666636914014
CLF,4.0,0.0399999999999999,0.0531447853893041,0.0630050076954671,0.060666670401891,0.1592653090755144,0.1111666636914014
CLF,4.5,0.03,0.0667362300058205,0.1828535937395854,0.0596666634082794,0.1592653090755144,0.1111666636914014
CLF,5.0,0.0199999999999999,0.069580677524209,0.0345383426460731,0.0779999991257985,0.1592653090755144,0.1111666636914014
CLF,5.5,0.01,0.09155640179912249,0.07287167180708135,0.17499999503294628,0.15926530907551448,0.11116666369140149
